"Z30_REC_KEY","Z30_BARCODE","Z30_SUB_LIBRARY","Z30_MATERIAL","Z30_ITEM_STATUS","Z30_OPEN_DATE","Z30_UPDATE_DATE","Z30_CATALOGER","Z30_DATE_LAST_RETURN","Z30_HOUR_LAST_RETURN","Z30_IP_LAST_RETURN","Z30_NO_LOANS","Z30_ALPHA","Z30_COLLECTION","Z30_CALL_NO_TYPE","Z30_CALL_NO","Z30_CALL_NO_KEY","Z30_CALL_NO_2_TYPE","Z30_CALL_NO_2","Z30_CALL_NO_2_KEY","Z30_DESCRIPTION","Z30_NOTE_OPAC","Z30_NOTE_CIRCULATION","Z30_NOTE_INTERNAL","Z30_ORDER_NUMBER","Z30_INVENTORY_NUMBER","Z30_INVENTORY_NUMBER_DATE","Z30_LAST_SHELF_REPORT_DATE","Z30_PRICE","Z30_SHELF_REPORT_NUMBER","Z30_ON_SHELF_DATE","Z30_ON_SHELF_SEQ","Z30_REC_KEY_2","Z30_REC_KEY_3","Z30_PAGES","Z30_ISSUE_DATE","Z30_EXPECTED_ARRIVAL_DATE","Z30_ARRIVAL_DATE","Z30_ITEM_STATISTIC","Z30_ITEM_PROCESS_STATUS","Z30_COPY_ID","Z30_HOL_DOC_NUMBER_X","Z30_TEMP_LOCATION","Z30_ENUMERATION_A","Z30_ENUMERATION_B","Z30_ENUMERATION_C","Z30_ENUMERATION_D","Z30_ENUMERATION_E","Z30_ENUMERATION_F","Z30_ENUMERATION_G","Z30_ENUMERATION_H","Z30_CHRONOLOGICAL_I","Z30_CHRONOLOGICAL_J","Z30_CHRONOLOGICAL_K","Z30_CHRONOLOGICAL_L","Z30_CHRONOLOGICAL_M","Z30_SUPP_INDEX_O","Z30_85X_TYPE","Z30_DEPOSITORY_ID","Z30_LINKING_NUMBER","Z30_GAP_INDICATOR","Z30_MAINTENANCE_COUNT","Z30_PROCESS_STATUS_DATE"
"002795866000020","2795866-20                    ","IRI  ","PA   ","10",20190212,20190214,"5621670   ",0,0,"",0,"L","","1","907.202 L433h 7.ed.","1 907 202 l433!h 7 ed                                                           ","","","                                                                                ","","","","Doação de Roberto Troitino","","M4425",20190212,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"001702170000020","1702170-20                    ","IRI  ","PA   ","10",20190213,20190213,"1474787   ",0,0,"",0,"L","COSF ","1","301.01 D963r 3.ed.","1 301 01 d963!r 3 ed                                                            ","","","                                                                                ","3.ed.","","","","","M4427",20190213,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190213
"001636534000070","1636534-70                    ","IRI  ","PA   ","10",20190212,20190214,"5621670   ",20190308,1308,"IRI",1,"L","","1","327 H673 2.ed.","1 327 h673 2 ed                                                                 ","","","                                                                                ","","","","Doação de Roberto Troitino","","M4426",20190212,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",1,20190214
"001447740000020","1447740-20                    ","IRI  ","PA   ","10",20190212,20190214,"5621670   ",20190308,1307,"IRI",1,"L","COSF ","1","981.05 C331b 3.ed.","1 981 05 c331!b 3 ed                                                            ","","","                                                                                ","","","","","","M4424",20190212,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",1,20190214
"002927107000010","2927107-10                    ","IRI  ","PA   ","10",20190213,20190213,"1474787   ",0,0,"",0,"L","COSF ","1","959.704 K81a","1 959 704 k81!a                                                                 ","","","                                                                                ","","","","","","M4429",20190213,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190213
"002927095000010","2927095-10                    ","IRI  ","PA   ","10",20190213,20190213,"1474787   ",0,0,"",0,"L","COSF ","1","355.02 H848c 2.ed.","1 355 02 h848!c 2 ed                                                            ","","","                                                                                ","2.ed.","","","","","M4428",20190213,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190213
"001323331000090","1323331-90                    ","IRI  ","PA   ","10",20190213,20190213,"1474787   ",0,0,"",0,"L","COSF ","1","981.063 G249de e.2","1 981 063 g249!de e 2                                                           ","","","                                                                                ","e.2","","","","","M4430",20190213,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00002","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190213
"002927140000010","2927140-10                    ","IRI  ","PA   ","10",20190213,20190213,"1474787   ",0,0,"",0,"L","COSF ","1","327.09 V132r 2.ed.","1 327 09 v132!r 2 ed                                                            ","","","                                                                                ","2.ed.","","","","","M4431",20190213,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190213
"002744771000020","2744771-20                    ","IRI  ","PA   ","10",20190213,20190213,"1474787   ",0,0,"",0,"L","COSF ","1","940.53 G464n","1 940 53 g464!n                                                                 ","","","                                                                                ","","","","","","M4432",20190213,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190213
"000636713000060","636713-60                     ","IRI  ","PA   ","10",20190213,20190213,"1474787   ",0,0,"",0,"L","COSF ","1","327.81 R696h e.2","1 327 81 r696!h e 2                                                             ","","","                                                                                ","e.2","","","","","M4433",20190213,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00002","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190213
